year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1983,"M","Raytheon",12,2678.864,604,442.3636,88.19546,17.90455,15.50455,14.75318,11927.5,7571,12.8472
1984,"L","Bombardier",8,3352,1035,460,80.5,40.7,20.85,19.61,19550,7991,23.26723
1984,"M","Bombardier",17,2397,407,477,84.2,16.5,16.79,13.34,9525,7991,10.18502
1984,"S","Bombardier",16,2449.733,270.0667,469.6667,84.26,15.43333,14.808,11.96,8200.333,7991,6.757462
1984,"M","Cessna",43,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,7991,10.79405
1984,"S","Cessna",36,1775.571,254.7143,396.0635,77.46349,11.53349,14.22857,15.68349,6589.984,7991,4.807319
1984,"M","Dassault",8,2417.75,700,470.1667,86.32083,22.4875,17.60667,10.5,15043.04,7991,19.96561
1984,"L","Gulfstream",23,4100,1345,500,91.1,50.7,25.32,23.72,31615,7991,29.18697
1984,"M","IAI",5,2926.579,349.9474,468.5789,80.97894,16.46842,16.03632,13.96474,10660,7991,8.605996
1984,"S","Other",7,1929,305,404,86.3,11.1,14.75,13.25,7158,7991,8.123022
1984,"M","Raytheon",15,2894.25,604,453,82.505,20.085,15.579,15.4605,12530.05,7991,15.33933
1985,"L","Bombardier",5,3352,1035,460,80.5,40.7,20.85,19.61,19550,8294,25.22057
1985,"M","Bombardier",7,2397,407,477,84.2,16.5,16.79,13.34,9525,8294,9.091444
1985,"S","Bombardier",12,2420.827,270.8933,469.5333,84.524,15.36667,14.7992,11.928,8160.467,8294,6.815717
1985,"M","Cessna",21,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,8294,11.7856
1985,"S","Cessna",64,1706.071,257.4762,398.5952,79.74762,11.01571,14.28238,15.76119,6706.738,8294,4.22879
1985,"M","Dassault",7,2873,700,473.3333,84.16667,24.2,18.06333,14.68,16707.33,8294,20.25706
1985,"L","Gulfstream",7,4104.8,1352.2,500.2,90.528,51.136,25.384,23.72,31691.22,8294,30.00146
1985,"M","IAI",3,2922.083,349.3333,468.6667,81.02499,16.475,16.01417,13.89917,10660,8294,8.67792
1985,"S","Other",5,1929,305,404,86.3,11.1,14.75,13.25,7158,8294,7.497213
